date,country_name,party_name,voting_intention
2026-03-10,Great Britain,Plaid Cymru,1.06
2026-03-10,Great Britain,Reform UK,27.54
2026-03-10,Great Britain,SNP,2.62
2026-03-09,Great Britain,Other,4.3
2026-03-09,Great Britain,Conservative,18.39
2026-03-09,Great Britain,Green Party,14.81
2026-03-09,Great Britain,Labour,18.96
2026-03-09,Great Britain,Liberal Democrats,12.08
2026-03-09,Great Britain,Plaid Cymru,1.09
2026-03-09,Great Britain,Reform UK,27.69
2026-03-09,Great Britain,SNP,2.69
2026-03-06,Great Britain,Other,4.3
2026-03-06,Great Britain,Conservative,18.2
2026-03-06,Great Britain,Green Party,14.97
2026-03-06,Great Britain,Labour,19.06
2026-03-06,Great Britain,Liberal Democrats,11.88
2026-03-06,Great Britain,Plaid Cymru,1.09
2026-03-06,Great Britain,Reform UK,27.81
2026-03-06,Great Britain,SNP,2.69
2026-03-06,Scotland,Other,2.15
2026-03-06,Scotland,Conservative,10.63
2026-03-06,Scotland,Green Party,8.26
2026-03-06,Scotland,Labour,16.6
2026-03-06,Scotland,Liberal Democrats,9.07
2026-03-06,Scotland,Reform UK,21.15
2026-03-06,Scotland,SNP,32.2
2026-03-05,Great Britain,Other,4.13
2026-03-05,Great Britain,Conservative,18.31
2026-03-05,Great Britain,Green Party,15.09
2026-03-05,Great Britain,Labour,18.83
2026-03-05,Great Britain,Liberal Democrats,11.94
2026-03-05,Great Britain,Plaid Cymru,1.09
2026-03-05,Great Britain,Reform UK,27.97
2026-03-05,Great Britain,SNP,2.64
2026-03-02,Great Britain,Other,3.91
2026-03-02,Great Britain,Conservative,18.3
2026-03-02,Great Britain,Green Party,15.16
2026-03-02,Great Britain,Labour,18.76
2026-03-02,Great Britain,Liberal Democrats,12.12
2026-03-02,Great Britain,Plaid Cymru,1.13
2026-03-02,Great Britain,Reform UK,27.93
2026-03-02,Great Britain,SNP,2.68
2026-02-27,Great Britain,Other,3.86
2026-02-27,Great Britain,Conservative,18.39
2026-02-27,Great Britain,Green Party,14.72
2026-02-27,Great Britain,Labour,18.93
2026-02-27,Great Britain,Liberal Democrats,11.94
2026-02-27,Great Britain,Plaid Cymru,1.1
2026-02-27,Great Britain,Reform UK,28.38
2026-02-27,Great Britain,SNP,2.68
2026-02-26,Scotland,Other,1.94
2026-02-26,Scotland,Conservative,10.64
2026-02-26,Scotland,Green Party,8.13
2026-02-26,Scotland,Labour,17.26
2026-02-26,Scotland,Liberal Democrats,9.14
2026-02-26,Scotland,Reform UK,21.16
2026-02-26,Scotland,SNP,31.87
2026-02-25,Great Britain,Other,3.64
2026-02-25,Great Britain,Conservative,18.32
2026-02-25,Great Britain,Green Party,15.15
2026-02-25,Great Britain,Labour,18.85
2026-02-25,Great Britain,Liberal Democrats,11.87
2026-02-25,Great Britain,Plaid Cymru,1.17
2026-02-25,Great Britain,Reform UK,28.31
2026-02-25,Great Britain,SNP,2.68
2026-02-23,Great Britain,Other,3.21
2026-02-23,Great Britain,Conservative,18.39
2026-02-23,Great Britain,Green Party,14.72
2026-02-23,Great Britain,Labour,19.35
2026-02-23,Great Britain,Liberal Democrats,11.87
2026-02-23,Great Britain,Plaid Cymru,1.24
2026-02-23,Great Britain,Reform UK,28.6
2026-02-23,Great Britain,SNP,2.61
2026-02-19,Scotland,Conservative,10.78
2026-02-19,Scotland,Green Party,8.05
2026-02-19,Scotland,Labour,17.18
2026-02-19,Scotland,Liberal Democrats,8.99
2026-02-19,Scotland,Reform UK,21.43
2026-02-19,Scotland,SNP,31.71
2026-02-18,Great Britain,Other,3.09
2026-02-18,Great Britain,Conservative,18.25
2026-02-18,Great Britain,Green Party,14.77
2026-02-18,Great Britain,Labour,19.49
2026-02-18,Great Britain,Liberal Democrats,11.91
2026-02-18,Great Britain,Plaid Cymru,1.24
2026-02-18,Great Britain,Reform UK,28.61
2026-02-18,Great Britain,SNP,2.64
2026-02-18,Scotland,Other,1.87
2026-02-18,Scotland,Conservative,10.97
2026-02-18,Scotland,Green Party,7.67
2026-02-18,Scotland,Labour,17.51
2026-02-18,Scotland,Liberal Democrats,9.04
2026-02-18,Scotland,Reform UK,21.23
2026-02-18,Scotland,SNP,31.71
2026-02-17,Great Britain,Other,2.8
